[2026-06-28 19:05:54] 开始获取全市场A股实时行情...
[2026-06-28 19:07:01] 获取到 5867 条股票数据
[2026-06-28 19:07:01] 列映射: {'code': '代码', 'name': '名称', 'price': '最新价', 'change_pct': '年初至今涨跌幅', 'amount': '成交额', 'turnover': '换手率'}
[2026-06-28 19:07:02] 预筛选候选股票: 4876 只
[2026-06-28 19:08:16] [163/4876] 处理 688507 索辰科技...
[2026-06-28 19:08:17] [164/4876] 处理 688110 东芯股份...
[2026-06-28 19:08:17] [165/4876] 处理 002741 光华科技...
[2026-06-28 19:08:18] [166/4876] 处理 300506 名家汇...
[2026-06-28 19:08:18] [167/4876] 处理 301421 波长光电...
[2026-06-28 19:08:19] [168/4876] 处理 301095 广立微...
[2026-06-28 19:08:19] [169/4876] 处理 605020 永和股份...
[2026-06-28 19:08:20] [170/4876] 处理 002182 宝武镁业...
[2026-06-28 19:08:20] [171/4876] 处理 002635 安洁科技...
[2026-06-28 19:08:21] [172/4876] 处理 300301 ST长方...
[2026-06-28 19:08:21] [173/4876] 处理 688115 思林杰...
[2026-06-28 19:08:22] [174/4876] 处理 688669 聚石化学...
[2026-06-28 19:08:22] [175/4876] 处理 001322 箭牌家居...
[2026-06-28 19:08:22] [176/4876] 处理 002587 奥拓电子...
[2026-06-28 19:08:23] [177/4876] 处理 002783 凯龙股份...
[2026-06-28 19:08:23] [178/4876] 处理 300259 新天科技...
[2026-06-28 19:08:24] [179/4876] 处理 300901 中胤时尚...
[2026-06-28 19:08:24] [180/4876] 处理 002983 芯瑞达...
[2026-06-28 19:08:25] [181/4876] 处理 002937 兴瑞科技...
[2026-06-28 19:08:25] [182/4876] 处理 603678 火炬电子...
[2026-06-28 19:08:26] [183/4876] 处理 002871 伟隆股份...
[2026-06-28 19:08:26] [184/4876] 处理 300840 酷特智能...
[2026-06-28 19:08:27] [185/4876] 处理 300323 华灿光电...
[2026-06-28 19:08:27] [186/4876] 处理 600879 航天电子...
[2026-06-28 19:08:27] [187/4876] 处理 600459 XD贵研铂...
[2026-06-28 19:08:28] [188/4876] 处理 301005 超捷股份...
[2026-06-28 19:08:28] [189/4876] 处理 002655 共达电声...
[2026-06-28 19:08:29] [190/4876] 处理 688426 康为世纪...
[2026-06-28 19:08:29] [191/4876] 处理 688550 瑞联新材...
[2026-06-28 19:08:30] [192/4876] 处理 688079 美迪凯...
[2026-06-28 19:08:30] [193/4876] 处理 601226 华电科工...
[2026-06-28 19:08:31] [194/4876] 处理 689009 九号公司-WD...
[2026-06-28 19:08:31] [195/4876] 处理 002132 恒星科技...
[2026-06-28 19:08:32] [196/4876] 处理 600770 综艺股份...
[2026-06-28 19:08:32] [197/4876] 处理 688233 神工股份...
[2026-06-28 19:08:33] [198/4876] 处理 300670 大烨智能...
[2026-06-28 19:08:33] [199/4876] 处理 603004 鼎龙科技...
[2026-06-28 19:08:33] [200/4876] 处理 300027 ST华谊...
[2026-06-28 19:08:34] [201/4876] 处理 688375 XD国博电...
[2026-06-28 19:08:34] [202/4876] 处理 300446 航天智造...
[2026-06-28 19:08:35] [203/4876] 处理 688656 浩欧博...
[2026-06-28 19:08:35] [204/4876] 处理 300219 鸿利智汇...
[2026-06-28 19:08:36] [205/4876] 处理 920077 吉林碳谷...
[2026-06-28 19:08:36] [206/4876] 处理 600783 XD鲁信创...
[2026-06-28 19:08:37] [207/4876] 处理 688170 德龙激光...
[2026-06-28 19:08:37] [208/4876] 处理 605006 山东玻纤...
[2026-06-28 19:08:38] [209/4876] 处理 300093 金刚光伏...
[2026-06-28 19:08:38] [210/4876] 处理 300721 怡达股份...
[2026-06-28 19:08:39] [211/4876] 处理 300537 广信材料...
[2026-06-28 19:08:39] [212/4876] 处理 603002 宏昌电子...
[2026-06-28 19:08:39] [213/4876] 处理 300342 天银机电...
[2026-06-28 19:08:40] [214/4876] 处理 002080 中材科技...
[2026-06-28 19:08:40] [215/4876] 处理 301257 普蕊斯...
[2026-06-28 19:08:41] [216/4876] 处理 000056 *ST皇庭...
[2026-06-28 19:08:41] [217/4876] 处理 002822 ST中装...
[2026-06-28 19:08:42] [218/4876] 处理 600007 XD中国国...
[2026-06-28 19:08:42] [219/4876] 处理 000609 *ST中迪...
[2026-06-28 19:08:43] [220/4876] 处理 920015 锦华新材...
[2026-06-28 19:08:43] [221/4876] 处理 600660 福耀玻璃...
[2026-06-28 19:08:44] [222/4876] 处理 000838 *ST发展...
[2026-06-28 19:08:44] [223/4876] 处理 002816 *ST和科...
[2026-06-28 19:08:45] [224/4876] 处理 600730 *ST高科...
[2026-06-28 19:08:45] [225/4876] 处理 603595 ST东尼...
[2026-06-28 19:08:45] [226/4876] 处理 300751 迈为股份...
[2026-06-28 19:08:46] [227/4876] 处理 600745 *ST闻泰...
[2026-06-28 19:08:46]   → 60日跌幅 -48.25%，符合条件！
[2026-06-28 19:08:46] [228/4876] 处理 002713 *ST东易...
[2026-06-28 19:08:47] [229/4876] 处理 002538 ST司特...
[2026-06-28 19:08:47] [230/4876] 处理 603297 永新光学...
[2026-06-28 19:08:48] [231/4876] 处理 601698 中国卫通...
[2026-06-28 19:08:48] [232/4876] 处理 600568 ST中珠...
[2026-06-28 19:08:49] [233/4876] 处理 603983 丸美生物...
[2026-06-28 19:08:49] [234/4876] 处理 603313 梦百合...
[2026-06-28 19:08:50] [235/4876] 处理 300395 菲利华...
[2026-06-28 19:08:50] [236/4876] 处理 920001 纬达光电...
[2026-06-28 19:08:51] [237/4876] 处理 002427 尤夫股份...
[2026-06-28 19:08:51] [238/4876] 处理 301295 美硕科技...
[2026-06-28 19:08:52] [239/4876] 处理 600176 中国巨石...
[2026-06-28 19:08:52] [240/4876] 处理 920078 族兴新材...
[2026-06-28 19:08:52] [241/4876] 处理 920116 星图测控...
[2026-06-28 19:08:53] [242/4876] 处理 688138 清溢光电...
[2026-06-28 19:08:53] [243/4876] 处理 600525 ST长园...
[2026-06-28 19:08:54] [244/4876] 处理 688126 沪硅产业...
[2026-06-28 19:08:54] [245/4876] 处理 301321 翰博高新...
[2026-06-28 19:08:55] [246/4876] 处理 603005 晶方科技...
